1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.216297	0.000000	2.676127	0.031526	270.0
1	-0.201136	0.000000	2.676127	0.027715	1.4
2	-0.236272	0.999983	2.554487	0.037684	1.3
3	-0.210820	0.049558	2.669827	0.027781	1.4
4	-0.223894	1.049557	2.548744	0.038536	1.4
5	-0.227355	0.098852	2.663589	0.019742	1.3
6	-0.197576	0.000000	2.676127	0.029954	1.2
7	-0.225672	0.000000	2.676127	0.041668	1.2
8	-0.217627	0.000000	2.676127	0.017365	1.2
9	-0.225114	0.816033	2.576026	0.050487	1.4
10	-0.226876	0.000000	2.676127	0.017483	1.3
11	-0.194649	0.000000	2.676127	0.036319	1.3
12	-0.230614	0.000000	2.676127	0.040682	1.2
13	-0.222419	1.000000	2.554485	0.019728	1.9
14	-0.193897	1.989464	2.444540	0.010448	3.7
15	-0.212065	1.258716	2.524794	0.032106	1.6
16	-0.202853	0.316991	2.636332	0.027086	1.4
17	-0.179763	0.000000	2.676127	0.017312	1.4
18	-0.203276	0.999756	2.554513	0.029596	1.3
19	-0.217984	1.990529	2.444427	0.030022	1.6
20	-0.218985	1.635246	2.482795	0.038499	1.3
21	-0.242347	2.635246	2.377749	0.031116	1.5
22	-0.220574	2.630203	2.378256	0.009894	1.3
23	-0.203159	3.592657	2.285181	0.015660	1.3
24	-0.193002	2.818151	2.359489	0.025554	1.5
25	-0.237931	2.707981	2.370454	0.036523	1.3
26	-0.203057	3.707980	2.274515	0.021235	1.5
27	-0.239981	4.707979	2.186040	0.029072	1.4
28	-0.259728	3.757322	2.269982	0.014078	1.6
29	-0.222448	2.842522	2.357077	0.025878	1.2
30	-0.226051	2.008492	2.442519	0.021648	1.6
31	-0.250393	3.008122	2.340819	0.025613	1.5
32	-0.229874	2.984531	2.343122	0.030463	1.5
33	-0.212410	2.269563	2.415115	0.027826	2.5
34	-0.193123	1.318859	2.517990	0.020958	3.6
35	-0.223858	2.318826	2.410013	0.015176	1.4
36	-0.214086	3.295825	2.313100	0.046184	1.3
37	-0.223631	4.290741	2.222105	0.025861	1.4
38	-0.196709	5.273152	2.139015	0.051709	1.4
39	-0.193790	4.322446	2.219322	0.021867	1.4
40	-0.213423	5.318384	2.135339	0.042655	1.5
41	-0.197816	4.367679	2.215365	0.019469	1.2
